Sigla;Descrição;Categoria;Tipo Concoord
PI; ENCOMENDA PAC; ENCOMENDA PAC;PAC
PJ; ENCOMENDA PAC; ENCOMENDA PAC;PAC
PK; ETIQUETA PAC EXTRA GRANDE; ENCOMENDA PAC;PAC
PL; ENCOMENDA PAC; ENCOMENDA PAC;PAC
PM; ETIQUETA PAC (FÍSICA); ENCOMENDA PAC;PAC
PN; ENCOMENDA PAC (ETIQ LOGICA); ENCOMENDA PAC;PAC
PO; ENCOMENDA PAC (ETIQ LOGICA); ENCOMENDA PAC;PAC
PP; ETIQUETA LÓGICA PAC PP; ENCOMENDA PAC;PAC
PQ; ETIQUETA LOGICA CORREIOS MINI ENVIOS; ENCOMENDA PAC MINI;PAC
PR; ETIQUETA LOGICA CORREIOS MINI ENVIOS; ENCOMENDA PAC MINI;PAC
PS; ETIQUETA LÓGICA PAC; ENCOMENDA PAC;PAC
PT; ENCOMENDA PAC; ENCOMENDA PAC;PAC
PU; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
PV; ETIQUETA LOG PAC ADMINIST; ENCOMENDA PAC SERVIÇO;PAC
PW; ETIQUETA LOGICA PAC - PW; ENCOMENDA PAC;PAC
PX; ENCOMENDA PAC (ETIQUETA LOGICA); ENCOMENDA PAC;PAC
PY; ETIQUETA LOGICA PAC - PY; ENCOMENDA PAC;PAC
PZ; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QA; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QB; ETIQUETA FISICA SEDEX; SEDEX;SEDEX
QC; ETIQUETA PAC (FÍSICA); ENCOMENDA PAC;PAC
QD; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QE; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QF; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QG; ETIQUETA LOGICA PAC QG; ENCOMENDA PAC;PAC
QH; ETIQUETA LOGICA PAC QH; ENCOMENDA PAC;PAC
QI; ETIQUETA LOGICA PAC QI; ENCOMENDA PAC;PAC
QJ; ETIQUETA LOGICA PAC QJ; ENCOMENDA PAC;PAC
QK; ETIQUETA LOGICA PAC QK; ENCOMENDA PAC;PAC
QL; ETIQUETA LOGICA PAC QL; ENCOMENDA PAC;PAC
QM; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QN; ETIQUETA LOGICA PAC QN; ENCOMENDA PAC;PAC
QO; ETIQUETA LOGICA CORREIOS MINI ENVIOS; ENCOMENDA PAC MINI;PAC
QP; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QQ; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QR; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QS; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QT; ETIQ LOG PAC EXTRA GRANDE QT; ENCOMENDA PAC;PAC
QU; ETIQUETA FISICA PAC; ENCOMENDA PAC;PAC
QV; ETIQ LOG PAC EXTRA GRANDE; ENCOMENDA PAC;PAC
QW; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QX; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QY; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
QZ; ETIQUETA LOGICA PAC; ENCOMENDA PAC;PAC
RA; REGISTRADO PRIORITÁRIO; REGISTRADO ESPECIAL;OUTROS
RB; CARTA REGISTRADA; REGISTRADO CONVENCIONAL;OUTROS
RC; CARTA REGISTRADA COM VALOR DECLARADO; REGISTRADO CONVENCIONAL;OUTROS
RD; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RE; MALA DIRETA POSTAL ESP/NORM/IMPR NAO URG; REGISTRADO ESPECIAL;OUTROS
RF; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RG; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RH; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RI; OBJETO INTERNACIONAL REGISTRADO; REGISTRADO EXPORTAÇÃO;OUTROS
RJ; CARTA REGISTRADA AGENCIA; REGISTRADO CONVENCIONAL;OUTROS
RK; CARTA REGISTRADA AGENCIA; REGISTRADO CONVENCIONAL;OUTROS
RL; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RM; REGISTRADO AGÊNCIA; REGISTRADO CONVENCIONAL;OUTROS
RN; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RO; CARTA REGISTRADA AGENCIA; REGISTRADO CONVENCIONAL;OUTROS
RP; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RQ; CARTA REGISTRADA AGENCIA; REGISTRADO CONVENCIONAL;OUTROS
